ProductionID,FarmID,CropID,Date,District,Yield(Tons)
1,51,9,2024-01-01,A,8.84
2,56,2,2024-01-02,A,14.39
3,83,5,2024-01-03,A,12.37
4,62,3,2024-01-04,B,9.73
5,32,4,2024-01-05,C,2.44
6,30,10,2024-01-06,D,2.48
7,29,6,2024-01-07,A,1.04
8,49,8,2024-01-08,C,19.39
9,45,1,2024-01-09,A,1.1
10,93,10,2024-01-10,D,2.96
11,30,8,2024-01-11,D,6.98
12,16,7,2024-01-12,A,16.34
13,40,1,2024-01-13,B,19.28
14,19,2,2024-01-14,A,16.01
15,18,3,2024-01-15,A,14.12
16,1,1,2024-01-16,D,10.9
17,78,9,2024-01-17,B,2.65
18,47,8,2024-01-18,C,19.21
19,66,2,2024-01-19,B,15.41
20,92,9,2024-01-20,A,13.14
21,94,7,2024-01-21,D,15.42
22,38,9,2024-01-22,C,14.76
23,51,6,2024-01-23,A,13.11
24,63,6,2024-01-24,B,19.63
25,4,4,2024-01-25,B,18.16
26,1,10,2024-01-26,D,13.29
27,8,10,2024-01-27,C,14.17
28,29,2,2024-01-28,A,1.98
29,55,7,2024-01-29,C,13.73
30,3,5,2024-01-30,C,1.84
31,32,6,2024-01-31,C,12.18
32,10,2,2024-02-01,D,19.99
33,74,5,2024-02-02,D,11.56
34,83,10,2024-02-03,A,9.99
35,34,4,2024-02-04,B,6.94
36,97,9,2024-02-05,A,3.29
37,87,6,2024-02-06,A,14.89
38,55,2,2024-02-07,C,4.66
39,92,1,2024-02-08,A,3.19
40,32,5,2024-02-09,C,9.01
41,50,9,2024-02-10,A,16.11
42,7,6,2024-02-11,B,15.16
43,93,10,2024-02-12,D,2.04
44,8,7,2024-02-13,C,9.65
45,65,5,2024-02-14,A,10.93
46,57,10,2024-02-15,B,13.25
47,67,6,2024-02-16,B,13.35
48,88,5,2024-02-17,C,7.93
49,87,9,2024-02-18,A,11.65
50,59,6,2024-02-19,C,10.14
51,72,8,2024-02-20,B,17.81
52,54,2,2024-02-21,C,11.08
53,67,9,2024-02-22,B,9.38
54,51,5,2024-02-23,A,8.69
55,97,7,2024-02-24,A,11.88
56,92,10,2024-02-25,A,16.28
57,8,1,2024-02-26,C,11.23
58,34,10,2024-02-27,B,13.57
59,35,5,2024-02-28,C,15.02
60,96,10,2024-02-29,C,10.88
61,88,2,2024-03-01,C,9.11
62,78,6,2024-03-02,B,17.66
63,32,1,2024-03-03,C,8.93
64,46,3,2024-03-04,B,9.78
65,16,5,2024-03-05,A,19.82
66,68,4,2024-03-06,C,1.0
67,37,3,2024-03-07,A,4.52
68,54,10,2024-03-08,C,8.3
69,85,5,2024-03-09,B,18.72
70,14,8,2024-03-10,D,2.33
71,95,4,2024-03-11,B,1.18
72,55,1,2024-03-12,C,2.0
73,48,7,2024-03-13,D,2.68
74,82,8,2024-03-14,C,1.71
75,7,3,2024-03-15,B,10.12
76,74,6,2024-03-16,D,12.03
77,7,2,2024-03-17,B,6.16
78,33,7,2024-03-18,A,8.57
79,23,8,2024-03-19,B,2.74
80,85,6,2024-03-20,B,7.39
81,19,6,2024-03-21,A,10.93
82,19,5,2024-03-22,A,14.91
83,36,8,2024-03-23,B,1.06
84,29,1,2024-03-24,A,9.88
85,60,10,2024-03-25,C,6.64
86,82,4,2024-03-26,C,17.2
87,2,4,2024-03-27,B,14.6
88,1,3,2024-03-28,D,12.19
89,47,3,2024-03-29,C,6.27
90,69,4,2024-03-30,C,18.3
91,20,1,2024-03-31,D,1.86
92,11,2,2024-04-01,A,3.08
93,2,9,2024-04-02,B,8.44
94,67,10,2024-04-03,B,3.36
95,87,2,2024-04-04,A,19.17
96,12,5,2024-04-05,D,16.16
97,20,9,2024-04-06,D,5.92
98,5,9,2024-04-07,D,12.18
99,37,8,2024-04-08,A,19.66
100,38,1,2024-04-09,C,17.8
